	a_allo	a_aust	a_best	a_cave	a_cavi	a_ench	a_fluv	a_pisc	a_popo	a_rivi	a_salm	a_schu	e_coli
a_allo	0.0	3230.0	3447.0	2672.0	3152.0	3217.0	3023.0	3471.0	3270.0	3198.0	3431.0	3165.0	2241.0
a_aust	3225.0	0.0	3175.0	2611.0	3001.0	3012.0	2983.0	3179.0	3084.0	3030.0	3174.0	3062.0	2044.0
a_best	3440.0	3175.0	0.0	2682.0	3364.0	3483.0	2961.0	3823.0	3409.0	3375.0	3681.0	3189.0	2270.0
a_cave	2685.0	2641.0	2715.0	0.0	2695.0	2697.0	2525.0	2758.0	2775.0	2662.0	2778.0	2644.0	2017.0
a_cavi	3138.0	3001.0	3367.0	2664.0	0.0	3459.0	2865.0	3420.0	3180.0	3567.0	3425.0	3064.0	2217.0
a_ench	3209.0	3009.0	3472.0	2649.0	3456.0	0.0	2863.0	3524.0	3169.0	3515.0	3453.0	3126.0	2207.0
a_fluv	3025.0	2987.0	2973.0	2497.0	2876.0	2869.0	0.0	2968.0	2922.0	2898.0	2987.0	2944.0	2004.0
a_pisc	3490.0	3201.0	3889.0	2753.0	3440.0	3608.0	2981.0	0.0	3540.0	3447.0	3851.0	3309.0	2327.0
a_popo	3268.0	3097.0	3418.0	2766.0	3184.0	3202.0	2939.0	3543.0	0.0	3164.0	3488.0	3123.0	2183.0
a_rivi	3178.0	3030.0	3369.0	2631.0	3559.0	3510.0	2898.0	3411.0	3143.0	0.0	3357.0	3058.0	2211.0
a_salm	3430.0	3186.0	3670.0	2751.0	3421.0	3454.0	2987.0	3787.0	3436.0	3364.0	0.0	3223.0	2244.0
a_schu	3165.0	3070.0	3174.0	2609.0	3054.0	3119.0	2939.0	3245.0	3060.0	3055.0	3204.0	0.0	2097.0
e_coli	2431.0	2208.0	2486.0	2218.0	2388.0	2407.0	2172.0	2505.0	2393.0	2428.0	2447.0	2280.0	0.0
