	a_allo	a_aust	a_best	a_cave	a_cavi	a_ench	a_fluv	a_pisc	a_popo	a_rivi	a_salm	a_schu	e_coli
a_allo	0.0	7.0	9.0	17.0	6.0	5.0	3.0	2.0	5.0	5.0	0.0	4.0	31.0
a_aust	6.0	0.0	2.0	2.0	7.0	2.0	7.0	5.0	2.0	5.0	4.0	8.0	28.0
a_best	6.0	2.0	0.0	7.0	2.0	4.0	2.0	10.0	2.0	2.0	4.0	5.0	38.0
a_cave	8.0	3.0	8.0	0.0	5.0	9.0	9.0	7.0	11.0	11.0	10.0	2.0	24.0
a_cavi	5.0	7.0	3.0	5.0	0.0	12.0	5.0	7.0	8.0	7.0	5.0	0.0	30.0
a_ench	6.0	4.0	6.0	6.0	14.0	0.0	8.0	4.0	6.0	0.0	4.0	2.0	37.0
a_fluv	2.0	7.0	2.0	6.0	4.0	4.0	0.0	2.0	9.0	2.0	5.0	3.0	20.0
a_pisc	2.0	6.0	9.0	7.0	7.0	2.0	2.0	0.0	21.0	2.0	4.0	2.0	54.0
a_popo	4.0	2.0	2.0	13.0	10.0	4.0	8.0	22.0	0.0	2.0	12.0	5.0	43.0
a_rivi	5.0	6.0	3.0	7.0	7.0	0.0	3.0	3.0	2.0	0.0	6.0	2.0	27.0
a_salm	0.0	4.0	4.0	9.0	4.0	2.0	4.0	2.0	8.0	4.0	0.0	4.0	29.0
a_schu	11.0	14.0	11.0	9.0	0.0	2.0	9.0	2.0	11.0	2.0	5.0	0.0	24.0
e_coli	33.0	27.0	48.0	47.0	30.0	36.0	24.0	58.0	49.0	26.0	35.0	32.0	0.0
