	a_allo	a_aust	a_best	a_cave	a_cavi	a_ench	a_fluv	a_pisc	a_popo	a_rivi	a_salm	a_schu	e_coli
a_allo	0.0	43.0	60.0	68.0	66.0	74.0	27.0	57.0	57.0	71.0	73.0	118.0	156.0
a_aust	36.0	0.0	43.0	57.0	45.0	53.0	38.0	28.0	42.0	38.0	35.0	82.0	99.0
a_best	52.0	43.0	0.0	56.0	42.0	64.0	25.0	34.0	31.0	44.0	50.0	116.0	128.0
a_cave	111.0	112.0	120.0	0.0	143.0	132.0	88.0	128.0	135.0	120.0	140.0	170.0	154.0
a_cavi	43.0	47.0	46.0	83.0	0.0	51.0	41.0	54.0	47.0	53.0	55.0	106.0	131.0
a_ench	59.0	46.0	41.0	53.0	43.0	0.0	44.0	43.0	45.0	45.0	55.0	102.0	125.0
a_fluv	35.0	45.0	47.0	41.0	62.0	57.0	0.0	50.0	41.0	41.0	56.0	92.0	103.0
a_pisc	85.0	63.0	133.0	106.0	88.0	177.0	68.0	0.0	89.0	93.0	136.0	195.0	179.0
a_popo	48.0	60.0	40.0	105.0	50.0	95.0	66.0	85.0	0.0	60.0	108.0	176.0	110.0
a_rivi	34.0	37.0	30.0	61.0	40.0	38.0	41.0	27.0	26.0	0.0	38.0	90.0	102.0
a_salm	73.0	59.0	30.0	97.0	53.0	61.0	60.0	34.0	40.0	55.0	0.0	141.0	147.0
a_schu	102.0	83.0	75.0	88.0	77.0	88.0	74.0	97.0	73.0	78.0	100.0	0.0	120.0
e_coli	480.0	383.0	488.0	435.0	430.0	457.0	382.0	487.0	458.0	463.0	478.0	412.0	0.0
