	a_allo	a_aust	a_best	a_cave	a_cavi	a_ench	a_fluv	a_pisc	a_popo	a_rivi	a_salm	a_schu	e_coli
a_allo	0.0	3163.0	3354.0	2534.0	3059.0	3109.0	2976.0	3376.0	3189.0	3105.0	3322.0	2997.0	1850.0
a_aust	3163.0	0.0	3110.0	2499.0	2926.0	2934.0	2917.0	3119.0	3015.0	2969.0	3106.0	2934.0	1750.0
a_best	3354.0	3110.0	0.0	2561.0	3298.0	3395.0	2912.0	3730.0	3362.0	3315.0	3612.0	3034.0	1891.0
a_cave	2534.0	2499.0	2561.0	0.0	2514.0	2531.0	2408.0	2582.0	2589.0	2505.0	2583.0	2432.0	1662.0
a_cavi	3059.0	2926.0	3298.0	2514.0	0.0	3375.0	2790.0	3321.0	3101.0	3488.0	3339.0	2927.0	1868.0
a_ench	3109.0	2934.0	3395.0	2531.0	3375.0	0.0	2786.0	3408.0	3081.0	3451.0	3364.0	2981.0	1856.0
a_fluv	2976.0	2917.0	2912.0	2408.0	2790.0	2786.0	0.0	2886.0	2845.0	2835.0	2897.0	2814.0	1717.0
a_pisc	3376.0	3119.0	3730.0	2582.0	3321.0	3408.0	2886.0	0.0	3397.0	3339.0	3694.0	3068.0	1885.0
a_popo	3189.0	3015.0	3362.0	2589.0	3101.0	3081.0	2845.0	3397.0	0.0	3089.0	3348.0	2909.0	1839.0
a_rivi	3105.0	2969.0	3315.0	2505.0	3488.0	3451.0	2835.0	3339.0	3089.0	0.0	3286.0	2933.0	1891.0
a_salm	3322.0	3106.0	3612.0	2583.0	3339.0	3364.0	2897.0	3694.0	3348.0	3286.0	0.0	3032.0	1863.0
a_schu	2997.0	2934.0	3034.0	2432.0	2927.0	2981.0	2814.0	3068.0	2909.0	2933.0	3032.0	0.0	1781.0
e_coli	1850.0	1750.0	1891.0	1662.0	1868.0	1856.0	1717.0	1885.0	1839.0	1891.0	1863.0	1781.0	0.0
