Number of species	13
Number of genes	52334
Number of genes in orthogroups	49635
Number of unassigned genes	2699
Percentage of genes in orthogroups	94.8
Percentage of unassigned genes	5.2
Number of orthogroups	5445
Number of species-specific orthogroups	202
Number of genes in species-specific orthogroups	497
Percentage of genes in species-specific orthogroups	0.9
Mean orthogroup size	9.1
Median orthogroup size	11.0
G50 (assigned genes)	13
G50 (all genes)	12
O50 (assigned genes)	1787
O50 (all genes)	1897
Number of orthogroups with all species present	1604
Number of single-copy orthogroups	1300
Date	2025-06-07
Orthogroups file	Orthogroups.tsv
Unassigned genes file	Orthogroups_UnassignedGenes.tsv
Per-species statistics	Statistics_PerSpecies.tsv
Overall statistics	Statistics_Overall.tsv
Orthogroups shared between species	Orthogroups_SpeciesOverlaps.tsv

Average number of genes per-species in orthogroup	Number of orthogroups	Percentage of orthogroups	Number of genes	Percentage of genes
<1	3629	66.6	24433	49.2
'1	1787	32.8	24294	48.9
'2	26	0.5	771	1.6
'3	2	0.0	78	0.2
'4	1	0.0	59	0.1
'5	0	0.0	0	0.0
'6	0	0.0	0	0.0
'7	0	0.0	0	0.0
'8	0	0.0	0	0.0
'9	0	0.0	0	0.0
'10	0	0.0	0	0.0
11-15	0	0.0	0	0.0
16-20	0	0.0	0	0.0
21-50	0	0.0	0	0.0
51-100	0	0.0	0	0.0
101-150	0	0.0	0	0.0
151-200	0	0.0	0	0.0
201-500	0	0.0	0	0.0
501-1000	0	0.0	0	0.0
'1001+	0	0.0	0	0.0

Number of species in orthogroup	Number of orthogroups
1	202
2	669
3	378
4	281
5	276
6	212
7	190
8	163
9	176
10	169
11	359
12	766
13	1604
