	a_allo	a_aust	a_best	a_cave	a_cavi	a_ench	a_fluv	a_pisc	a_popo	a_rivi	a_salm	a_schu	e_coli
Number of genes	4029	3651	4208	3461	4023	4023	3494	4758	4207	3960	4426	3796	4298
Number of genes in orthogroups	3924	3543	4113	3233	3923	3933	3364	4531	4001	3891	4200	3653	3326
Number of unassigned genes	105	108	95	228	100	90	130	227	206	69	226	143	972
Percentage of genes in orthogroups	97.4	97.0	97.7	93.4	97.5	97.8	96.3	95.2	95.1	98.3	94.9	96.2	77.4
Percentage of unassigned genes	2.6	3.0	2.3	6.6	2.5	2.2	3.7	4.8	4.9	1.7	5.1	3.8	22.6
Number of orthogroups containing species	3718	3404	3929	2974	3729	3768	3199	4125	3709	3715	3996	3468	2617
Percentage of orthogroups containing species	68.3	62.5	72.2	54.6	68.5	69.2	58.8	75.8	68.1	68.2	73.4	63.7	48.1
Number of species-specific orthogroups	5	5	2	25	2	2	5	23	10	2	2	7	112
Number of genes in species-specific orthogroups	12	10	4	73	5	4	16	46	27	15	5	14	266
Percentage of genes in species-specific orthogroups	0.3	0.3	0.1	2.1	0.1	0.1	0.5	1.0	0.6	0.4	0.1	0.4	6.2


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	1727	2041	1516	2471	1716	1677	2246	1320	1736	1730	1449	1977	2828
'1	3558	3286	3774	2785	3580	3631	3067	3843	3530	3586	3827	3329	2167
'2	129	100	134	156	125	115	108	203	125	103	144	110	326
'3	23	15	15	19	15	19	17	57	24	19	19	23	71
'4	5	3	4	7	4	2	5	12	11	5	4	4	28
'5	2	0	2	1	2	0	2	4	14	0	0	0	6
'6	0	0	0	3	1	0	0	3	2	0	2	0	7
'7	0	0	0	1	1	1	0	0	1	0	0	0	3
'8	0	0	0	1	0	0	0	2	2	0	0	0	4
'9	1	0	0	0	1	0	0	1	0	1	0	1	1
'10	0	0	0	0	0	0	0	0	0	0	0	1	0
11-15	0	0	0	1	0	0	0	0	0	1	0	0	4
16-20	0	0	0	0	0	0	0	0	0	0	0	0	0
21-50	0	0	0	0	0	0	0	0	0	0	0	0	0
