	a_allo	a_aust	a_best	a_cave	a_cavi	a_ench	a_fluv	a_pisc	a_popo	a_rivi	a_salm	a_schu	e_coli
a_allo	3718	3146	3348	2607	3072	3144	2968	3382	3203	3118	3338	3067	2119
a_aust	3146	3404	3120	2567	2943	2955	2926	3123	3040	2974	3114	2976	1973
a_best	3348	3120	3929	2633	3282	3390	2922	3693	3340	3301	3574	3089	2169
a_cave	2607	2567	2633	2974	2594	2603	2456	2668	2671	2577	2679	2537	1899
a_cavi	3072	2943	3282	2594	3729	3359	2818	3320	3115	3454	3321	2975	2115
a_ench	3144	2955	3390	2603	3359	3768	2817	3438	3113	3420	3367	3038	2113
a_fluv	2968	2926	2922	2456	2818	2817	3199	2915	2871	2847	2929	2855	1930
a_pisc	3382	3123	3693	2668	3320	3438	2915	4125	3402	3335	3675	3156	2176
a_popo	3203	3040	3340	2671	3115	3113	2871	3402	3709	3097	3355	2992	2082
a_rivi	3118	2974	3301	2577	3454	3420	2847	3335	3097	3715	3273	2973	2124
a_salm	3338	3114	3574	2679	3321	3367	2929	3675	3355	3273	3996	3117	2140
a_schu	3067	2976	3089	2537	2975	3038	2855	3156	2992	2973	3117	3468	2010
e_coli	2119	1973	2169	1899	2115	2113	1930	2176	2082	2124	2140	2010	2617
